sno,filepath,label,source,fold_id,duration_sec,duration_samples,sr,channels,bit_depth,md5,extra_meta
1,data/background_catergorized/music_background/music_on_pcm_sample_retraining_111.wav,music,background_catergorized,,1.0,21333,21333,1,16,a435fd7618a11c72a38c23a273668fec,
2,data/background_catergorized/music_background/music_on_pcm_sample_retraining_113.wav,music,background_catergorized,,1.0,21333,21333,1,16,f241090a44e85b3617ead57127bfa238,
3,data/background_catergorized/music_background/music_on_pcm_sample_retraining_114.wav,music,background_catergorized,,1.0,21333,21333,1,16,2577eb9c38ab15cddb953415ae5efb1b,
4,data/background_catergorized/music_background/music_on_pcm_sample_retraining_115.wav,music,background_catergorized,,1.0,21333,21333,1,16,b7ad49834b57597efd200b8ef4a09085,
5,data/background_catergorized/music_background/music_on_pcm_sample_retraining_137.wav,music,background_catergorized,,1.0,21333,21333,1,16,b434a5fc5af288886b3a9d013c993a31,
6,data/background_catergorized/music_background/music_on_pcm_sample_retraining_140.wav,music,background_catergorized,,1.0,21333,21333,1,16,a4636126694cf355abc1d4cb20b37687,
7,data/background_catergorized/music_background/music_on_pcm_sample_retraining_164.wav,music,background_catergorized,,1.0,21333,21333,1,16,5ce29370b5273c184bdd1da520460243,
8,data/background_catergorized/music_background/music_on_pcm_sample_retraining_165.wav,music,background_catergorized,,1.0,21333,21333,1,16,26646c51d8b10e1abe2c8c3a9a4d6ffd,
9,data/background_catergorized/music_background/music_on_pcm_sample_retraining_198.wav,music,background_catergorized,,1.0,21333,21333,1,16,fcfa2c621ecdc5ee5d8a55d25565873d,
10,data/background_catergorized/music_background/music_on_pcm_sample_retraining_199.wav,music,background_catergorized,,1.0,21333,21333,1,16,04c8bab06d4db39daba65331082264b6,
11,data/background_catergorized/music_background/music_on_pcm_sample_retraining_54.wav,music,background_catergorized,,1.0,21333,21333,1,16,8aa2228b470d566c93aa3821853366dd,
12,data/background_catergorized/music_background/music_on_pcm_sample_retraining_55.wav,music,background_catergorized,,1.0,21333,21333,1,16,271cd86953417fbd4abecf10f76d61c2,
13,data/background_catergorized/music_background/music_on_pcm_sample_retraining_56.wav,music,background_catergorized,,1.0,21333,21333,1,16,7830c645242ad9b3339e401f1eb0a757,
14,data/background_catergorized/music_background/music_on_pcm_sample_retraining_57.wav,music,background_catergorized,,1.0,21333,21333,1,16,3454058620dbbe48eec67db6bb8951bc,
15,data/background_catergorized/music_background/music_on_pcm_sample_retraining_58.wav,music,background_catergorized,,1.0,21333,21333,1,16,3a75f0690cf4cad2e80dc95cb19a40d2,
16,data/background_catergorized/music_background/music_on_pcm_sample_retraining_84.wav,music,background_catergorized,,1.0,21333,21333,1,16,1236d2e6c04f1203c598b5cbe6cc92cb,
17,data/background_catergorized/radio_noise/radio_pcm_sample_retraining_20.wav,radio,background_catergorized,,1.0,21333,21333,1,16,8e1a0ae831e23c7f01fa277658e386c7,
18,data/background_catergorized/radio_noise/radio_pcm_sample_retraining_28.wav,radio,background_catergorized,,1.0,21333,21333,1,16,85c4d67207da9a53852a9aeecc985800,
19,data/background_catergorized/radio_noise/radio_pcm_sample_retraining_63.wav,radio,background_catergorized,,1.0,21333,21333,1,16,a6c2ee467c2f23c7b6577a0bb991c4d5,
20,data/background_catergorized/radio_noise/radio_pcm_sample_retraining_71.wav,radio,background_catergorized,,1.0,21333,21333,1,16,7391eba7b6f127f6943ec5778649acc1,
21,data/background_catergorized/radio_noise/radio_pcm_sample_retraining_72.wav,radio,background_catergorized,,1.0,21333,21333,1,16,60c08479ba9163d5a70a41fc3c98f487,
22,data/background_catergorized/radio_noise/radio_pcm_sample_retraining_74.wav,radio,background_catergorized,,1.0,21333,21333,1,16,9a6456be7bde838520c017b728707812,
23,data/background_catergorized/screaming_background/screaming_on_pcm_sample_retraining_15.wav,screaming,background_catergorized,,1.0,21333,21333,1,16,5c641058f7780e255d2c96c13e8e4429,
