sno,filepath,label,source,fold_id,duration_sec,duration_samples,sr,channels,bit_depth,md5,extra_meta
1,data/esc50/audio/1-100032-A-0.wav,dog,esc50,1,5.0,220500,44100,1,16,ca7345a4c89c5394aa44419de0971ade,
2,data/esc50/audio/1-100038-A-14.wav,chirping_birds,esc50,1,5.0,220500,44100,1,16,15bb12ef048e18d6fe30e5f2e89b3b13,
3,data/esc50/audio/1-100210-A-36.wav,vacuum_cleaner,esc50,1,5.0,220500,44100,1,16,9d8fe127ba37f1497693d771464f99f2,
4,data/esc50/audio/1-100210-B-36.wav,vacuum_cleaner,esc50,1,5.0,220500,44100,1,16,86b5119519bb7ddb8b5a8f662406f858,
5,data/esc50/audio/1-101296-A-19.wav,thunderstorm,esc50,1,5.0,220500,44100,1,16,e8c020b7477bb5576978cd86b85fc92a,
6,data/esc50/audio/1-101296-B-19.wav,thunderstorm,esc50,1,5.0,220500,44100,1,16,a9a16f9e7e48cf260612eb8cb94d1c13,
7,data/esc50/audio/1-101336-A-30.wav,door_wood_knock,esc50,1,5.0,220500,44100,1,16,a20172598eb7ece9dfbad63a2ae6b34b,
8,data/esc50/audio/1-101404-A-34.wav,can_opening,esc50,1,5.0,220500,44100,1,16,f3478a8a7565b4c32994a8ea6ebf3b7e,
9,data/esc50/audio/1-103298-A-9.wav,crow,esc50,1,5.0,220500,44100,1,16,b8f1fb2256481fa0b8998a5eb2e745dd,
10,data/esc50/audio/1-103995-A-30.wav,door_wood_knock,esc50,1,5.0,220500,44100,1,16,5762ea989ab3a42c0cdccd4c6c013f07,
11,data/esc50/audio/1-103999-A-30.wav,door_wood_knock,esc50,1,5.0,220500,44100,1,16,72629e2e6d474818313930310b31914d,
12,data/esc50/audio/1-104089-A-22.wav,clapping,esc50,1,5.0,220500,44100,1,16,b76c2951b9d8f8f9a2e03f1572fde957,
13,data/esc50/audio/1-104089-B-22.wav,clapping,esc50,1,5.0,220500,44100,1,16,428e04f2edbfe0415f21649622d5624b,
14,data/esc50/audio/1-105224-A-22.wav,clapping,esc50,1,5.0,220500,44100,1,16,a304d549f599b58b9ad019da99ca36a3,
15,data/esc50/audio/1-110389-A-0.wav,dog,esc50,1,5.0,220500,44100,1,16,c509f75b47cc3e1f69b24b3bef916eba,
16,data/esc50/audio/1-110537-A-22.wav,clapping,esc50,1,5.0,220500,44100,1,16,34ac188cf44026e5120b35bb2c021615,
17,data/esc50/audio/1-115521-A-19.wav,thunderstorm,esc50,1,5.0,220500,44100,1,16,a7352f290110abafac5a8f340c5c5cc1,
18,data/esc50/audio/1-115545-A-48.wav,fireworks,esc50,1,5.0,220500,44100,1,16,98608f81d25eec5270e566b4bbc2177b,
19,data/esc50/audio/1-115545-B-48.wav,fireworks,esc50,1,5.0,220500,44100,1,16,cf36c1b605dad6e2a10a3d6a96166176,
20,data/esc50/audio/1-115545-C-48.wav,fireworks,esc50,1,5.0,220500,44100,1,16,4a0767ed121f31fb423a665399ca05f3,
21,data/esc50/audio/1-115546-A-48.wav,fireworks,esc50,1,5.0,220500,44100,1,16,c29ee474ffbc229b0f723eccc02a865f,
22,data/esc50/audio/1-115920-A-22.wav,clapping,esc50,1,5.0,220500,44100,1,16,3b49000729e6313bb0c11919b3380ec3,
23,data/esc50/audio/1-115920-B-22.wav,clapping,esc50,1,5.0,220500,44100,1,16,e8b97f8ac336d495a9f66fa0ac44c993,
24,data/esc50/audio/1-115921-A-22.wav,clapping,esc50,1,5.0,220500,44100,1,16,1bc59c1327b7700b2b7364aba72d076a,
25,data/esc50/audio/1-116765-A-41.wav,chainsaw,esc50,1,5.0,220500,44100,1,16,e489c41e092a1754d6c47393aeb1fec2,
26,data/esc50/audio/1-11687-A-47.wav,airplane,esc50,1,5.0,220500,44100,1,16,42605a6ba8eadbaa45036ae632b6fd7b,
27,data/esc50/audio/1-118206-A-31.wav,mouse_click,esc50,1,5.0,220500,44100,1,16,7ac944b1945c88a4213d4e88b0a23fc5,
28,data/esc50/audio/1-118559-A-17.wav,pouring_water,esc50,1,5.0,220500,44100,1,16,488d36789cda934c2449366155dfc019,
29,data/esc50/audio/1-119125-A-45.wav,train,esc50,1,5.0,220500,44100,1,16,ad73b35319424d3d8e9437ff1c4d02e1,
30,data/esc50/audio/1-121951-A-8.wav,sheep,esc50,1,5.0,220500,44100,1,16,8ddf7f6485920564b4f12319be8deae9,
31,data/esc50/audio/1-12653-A-15.wav,water_drops,esc50,1,5.0,220500,44100,1,16,63b02759b6c3595f31040bb86bc72783,
32,data/esc50/audio/1-12654-A-15.wav,water_drops,esc50,1,5.0,220500,44100,1,16,6aef62ae31798bedb6e6432c15a261e2,
33,data/esc50/audio/1-12654-B-15.wav,water_drops,esc50,1,5.0,220500,44100,1,16,dd29572a486785ea079d5ad75c65953a,
34,data/esc50/audio/1-13571-A-46.wav,church_bells,esc50,1,5.0,220500,44100,1,16,9cd03660f1b4e61319918d82acc6131f,
35,data/esc50/audio/1-13572-A-46.wav,church_bells,esc50,1,5.0,220500,44100,1,16,f2c53be28cc4acf749af1a78ae37dd25,
36,data/esc50/audio/1-13613-A-37.wav,clock_alarm,esc50,1,5.0,220500,44100,1,16,2a928e071cd2210198b93fafaa9661fa,
37,data/esc50/audio/1-137-A-32.wav,keyboard_typing,esc50,1,5.0,220500,44100,1,16,0a3d6c4c87486c2649b150a2d8bd90e0,
38,data/esc50/audio/1-137296-A-16.wav,wind,esc50,1,5.0,220500,44100,1,16,c50f7b74294dd173081ee0264f0bf06c,
39,data/esc50/audio/1-14262-A-37.wav,clock_alarm,esc50,1,5.0,220500,44100,1,16,4dafb27017725d840986a0839fdf59f6,
40,data/esc50/audio/1-155858-A-25.wav,footsteps,esc50,1,5.0,220500,44100,1,16,2e6ca697b03fec625439634d9c465d01,
41,data/esc50/audio/1-155858-B-25.wav,footsteps,esc50,1,5.0,220500,44100,1,16,df7629847a1abb2d5f923995d7f60df9,
42,data/esc50/audio/1-155858-C-25.wav,footsteps,esc50,1,5.0,220500,44100,1,16,acc46201e12ff56cbf2e091b0271661b,
43,data/esc50/audio/1-155858-D-25.wav,footsteps,esc50,1,5.0,220500,44100,1,16,aa752ab2b0ffc9caba998bcfac04d507,
44,data/esc50/audio/1-155858-E-25.wav,footsteps,esc50,1,5.0,220500,44100,1,16,ce015182577d81c7b1d64326304ee060,
45,data/esc50/audio/1-155858-F-25.wav,footsteps,esc50,1,5.0,220500,44100,1,16,869f9f41d9b916c83978c07b7c95e81e,
46,data/esc50/audio/1-15689-A-4.wav,frog,esc50,1,5.0,220500,44100,1,16,3b7aff699057be5abb8c4d7dd70ccc1c,
47,data/esc50/audio/1-15689-B-4.wav,frog,esc50,1,5.0,220500,44100,1,16,82f4ca2cce3006a69ab17a9ec1cdd098,
48,data/esc50/audio/1-160563-A-48.wav,fireworks,esc50,1,5.0,220500,44100,1,16,6168832f196ed874c0bb5e6a06b4b76c,
49,data/esc50/audio/1-160563-B-48.wav,fireworks,esc50,1,5.0,220500,44100,1,16,9bb55c6ff3604edf842ed90158747c0b,
50,data/esc50/audio/1-16568-A-3.wav,cow,esc50,1,5.0,220500,44100,1,16,3de1876bd0191d243664116ced0c2c5f,
51,data/esc50/audio/1-16746-A-15.wav,water_drops,esc50,1,5.0,220500,44100,1,16,1b541e576845e3e416238a3b5f9f7cda,
52,data/esc50/audio/1-17092-A-27.wav,brushing_teeth,esc50,1,5.0,220500,44100,1,16,fd8f2ad67cffada9eff774ed7c92ae32,
53,data/esc50/audio/1-17092-B-27.wav,brushing_teeth,esc50,1,5.0,220500,44100,1,16,9ee6bfc87a356fbc201441857a29d12a,
