sno,filepath,label,source,fold_id,duration_sec,duration_samples,sr,channels,bit_depth,md5,extra_meta
1,data/freesound_extra/glass_171994__drewkelly__glass1.wav,glass,freesound_extra,4,1.4,63469,44100,2,16,fb7cb243977fa9f07ff412933b3ff27c,
2,data/freesound_extra/glass_189575__unopiate__breaking-glass.wav,glass,freesound_extra,1,1.0,45124,44100,2,16,aa694db706df35dceb8f99c565e102da,
3,data/freesound_extra/glass_244238__chewiesmissus__glass-smash.wav,glass,freesound_extra,1,1.6,77248,48000,2,16,d42e7faf2a9c88ed829c93ce8bd98f8d,
4,data/freesound_extra/glass_366595__jittels__glass-breaking.wav,glass,freesound_extra,1,2.6,125366,48000,2,24,ef6197c467b12f5755d14b7403b7b68c,
5,data/freesound_extra/glass_369070__lazylids__breaking_mirror.wav,glass,freesound_extra,3,2.1,99174,48000,1,16,78dd160e37080213a56adb42ccfe9599,
6,data/freesound_extra/glass_378568__toxicfilmzsrsounds__glass-breaking.wav,glass,freesound_extra,4,2.2,99072,44100,2,32,c805edc5b397620e839f2753ff3542d2,
7,data/freesound_extra/glass_566197__scholzi982__glass_smash.wav,glass,freesound_extra,1,1.5,66150,44100,2,24,73272337177beee0230fbdb17100865d,
8,data/freesound_extra/glass_607910__ienba__glass-bottle-breaking.wav,glass,freesound_extra,1,14.7,706092,48000,2,24,12e2f78ca60a946df326ae9265c4ce42,
9,data/freesound_extra/glass_610188__holisoysilvi__028-vidrio-quebrandose-2.wav,glass,freesound_extra,3,13.0,575494,44100,1,16,0032165f61544109188fc90a07324820,
10,data/freesound_extra/glass_654285__jolindi__glass-bottle-breaking.wav,glass,freesound_extra,4,6.8,326136,48000,2,24,d8756440f3030235ef5c42fd4d58f837,
11,data/freesound_extra/glass_65902__bristolstories__break-wine-glass.wav,glass,freesound_extra,4,1.9,84672,44100,2,16,8e9177e37be3bc1d64a3921730fa761b,
12,data/freesound_extra/glass_764552__awarner__glass-bottle-breaking-close-up.wav,glass,freesound_extra,3,1.6,75024,48000,2,24,e359f246b66b383f8fbe43d082b0c94f,
