sno,filepath,label,source,fold_id,duration_sec,duration_samples,sr,channels,bit_depth,md5,extra_meta
1,data/gunshot_kaggle/AK-12/3 (1).wav,gunshot,gunshot_kaggle,,2.0,88200,44100,2,16,7fe3522505a00d8a431a953f4326972f,weapon_id=AK-12
2,data/gunshot_kaggle/AK-12/3 (10).wav,gunshot,gunshot_kaggle,,2.0,88200,44100,2,16,51dca492542eaa8d604afe0d58184aa4,weapon_id=AK-12
3,data/gunshot_kaggle/AK-12/3 (11).wav,gunshot,gunshot_kaggle,,2.0,88200,44100,2,16,5b964e26d1da3b3baa154b6c64edef24,weapon_id=AK-12
4,data/gunshot_kaggle/AK-12/3 (12).wav,gunshot,gunshot_kaggle,,2.0,88200,44100,2,16,f58cf9e36f89f90a426d12325935fdd8,weapon_id=AK-12
5,data/gunshot_kaggle/AK-12/3 (13).wav,gunshot,gunshot_kaggle,,2.0,88200,44100,2,16,9f91c377bdd57cffc2eb20f3c90bee07,weapon_id=AK-12
6,data/gunshot_kaggle/AK-12/3 (14).wav,gunshot,gunshot_kaggle,,2.0,88200,44100,2,16,4278e7704cec5378fcf0567be987848d,weapon_id=AK-12
7,data/gunshot_kaggle/AK-12/3 (15).wav,gunshot,gunshot_kaggle,,2.0,88200,44100,2,16,002fd33c7cf81e328b12fbe707e81fff,weapon_id=AK-12
8,data/gunshot_kaggle/AK-12/3 (16).wav,gunshot,gunshot_kaggle,,2.0,88200,44100,2,16,750dca661810e4896e3fff87026a79a7,weapon_id=AK-12
9,data/gunshot_kaggle/AK-12/3 (17).wav,gunshot,gunshot_kaggle,,2.0,88200,44100,2,16,a6754298829b36572edada4456b5957d,weapon_id=AK-12
10,data/gunshot_kaggle/AK-12/3 (18).wav,gunshot,gunshot_kaggle,,2.0,88200,44100,2,16,4021a469ae6e867c2446922a1fcf3f40,weapon_id=AK-12
11,data/gunshot_kaggle/AK-12/3 (19).wav,gunshot,gunshot_kaggle,,2.0,88200,44100,2,16,f04720be7f99cbb62e66abd2bc121405,weapon_id=AK-12
12,data/gunshot_kaggle/AK-12/3 (2).wav,gunshot,gunshot_kaggle,,2.0,88200,44100,2,16,37106b153787910904e2b44ef854682a,weapon_id=AK-12
13,data/gunshot_kaggle/AK-12/3 (20).wav,gunshot,gunshot_kaggle,,2.0,88200,44100,2,16,a6c1dd3934712c1eba40bbadb3016d0e,weapon_id=AK-12
14,data/gunshot_kaggle/AK-12/3 (21).wav,gunshot,gunshot_kaggle,,2.0,88200,44100,2,16,24161c8747cd05d2303d5ff803c491b3,weapon_id=AK-12
15,data/gunshot_kaggle/AK-12/3 (22).wav,gunshot,gunshot_kaggle,,2.0,88200,44100,2,16,f6e42fdc7aca7ce432cb7fb9a441a35e,weapon_id=AK-12
16,data/gunshot_kaggle/AK-12/3 (23).wav,gunshot,gunshot_kaggle,,2.0,88200,44100,2,16,d43eefb6749a3de61a521c34ae02d615,weapon_id=AK-12
17,data/gunshot_kaggle/AK-12/3 (24).wav,gunshot,gunshot_kaggle,,2.0,88200,44100,2,16,bd8fb3b87e815ca4bef57c526d910a86,weapon_id=AK-12
18,data/gunshot_kaggle/AK-12/3 (25).wav,gunshot,gunshot_kaggle,,2.0,88200,44100,2,16,716377048e55f34b25e3ff9179dba95f,weapon_id=AK-12
19,data/gunshot_kaggle/AK-12/3 (26).wav,gunshot,gunshot_kaggle,,2.0,88200,44100,2,16,24dce903bb5eee57808604afacb9d99d,weapon_id=AK-12
20,data/gunshot_kaggle/AK-12/3 (27).wav,gunshot,gunshot_kaggle,,2.0,88200,44100,2,16,e62074b5df50fc1780dad5fdf40e6aed,weapon_id=AK-12
21,data/gunshot_kaggle/AK-12/3 (28).wav,gunshot,gunshot_kaggle,,2.0,88200,44100,2,16,b1af075e45442ce0a2e1aff7b2972433,weapon_id=AK-12
22,data/gunshot_kaggle/AK-12/3 (29).wav,gunshot,gunshot_kaggle,,2.0,88200,44100,2,16,a2de332f61da0290332ce1869f6a4972,weapon_id=AK-12
23,data/gunshot_kaggle/AK-12/3 (3).wav,gunshot,gunshot_kaggle,,2.0,88200,44100,2,16,4b4d21aa9f0b23fc12501a794b37db21,weapon_id=AK-12
24,data/gunshot_kaggle/AK-12/3 (30).wav,gunshot,gunshot_kaggle,,2.0,88200,44100,2,16,9f617590707ff4ecb38c97a196657945,weapon_id=AK-12
25,data/gunshot_kaggle/AK-12/3 (31).wav,gunshot,gunshot_kaggle,,2.0,88200,44100,2,16,9aab1ed12385df9ef9c1ce930c15df3b,weapon_id=AK-12
26,data/gunshot_kaggle/AK-12/3 (32).wav,gunshot,gunshot_kaggle,,2.0,88200,44100,2,16,232f8e2eea8d4c5663f091479306db0e,weapon_id=AK-12
27,data/gunshot_kaggle/AK-12/3 (33).wav,gunshot,gunshot_kaggle,,2.0,88200,44100,2,16,0147440fdaa2ab9f0dec4c776907557b,weapon_id=AK-12
28,data/gunshot_kaggle/AK-12/3 (34).wav,gunshot,gunshot_kaggle,,2.0,88200,44100,2,16,0c166eddc9964978d1e09487efc0c5cf,weapon_id=AK-12
29,data/gunshot_kaggle/AK-12/3 (35).wav,gunshot,gunshot_kaggle,,2.0,88200,44100,2,16,2dc15ce1362268aa6abd8a491eb8f63a,weapon_id=AK-12
30,data/gunshot_kaggle/AK-12/3 (36).wav,gunshot,gunshot_kaggle,,2.0,88200,44100,2,16,434262b3d2d213cdbbe1e72dcdca4a19,weapon_id=AK-12
31,data/gunshot_kaggle/AK-12/3 (37).wav,gunshot,gunshot_kaggle,,2.0,88200,44100,2,16,2d409a1d681fad28d62c17bfb242aff8,weapon_id=AK-12
32,data/gunshot_kaggle/AK-12/3 (38).wav,gunshot,gunshot_kaggle,,2.0,88200,44100,2,16,6c1381dbad4d5262ed0bf4ddd4aa62f8,weapon_id=AK-12
33,data/gunshot_kaggle/AK-12/3 (39).wav,gunshot,gunshot_kaggle,,2.0,88200,44100,2,16,11a5621074fe5a37eb258ea30bf5516e,weapon_id=AK-12
34,data/gunshot_kaggle/AK-12/3 (4).wav,gunshot,gunshot_kaggle,,2.0,88200,44100,2,16,232bf6b81beda5f051bbfac5545a4c7b,weapon_id=AK-12
35,data/gunshot_kaggle/AK-12/3 (40).wav,gunshot,gunshot_kaggle,,2.0,88200,44100,2,16,088c399e200419ccaf6b22d3397c5190,weapon_id=AK-12
36,data/gunshot_kaggle/AK-12/3 (41).wav,gunshot,gunshot_kaggle,,2.0,88200,44100,2,16,b818da0861382d6bb77537bbfb0cbe5b,weapon_id=AK-12
37,data/gunshot_kaggle/AK-12/3 (42).wav,gunshot,gunshot_kaggle,,2.0,88200,44100,2,16,377586808d511c9d696cfcd33c779ae0,weapon_id=AK-12
38,data/gunshot_kaggle/AK-12/3 (43).wav,gunshot,gunshot_kaggle,,2.0,88200,44100,2,16,fab7a0179aca04d75a717220f360efc6,weapon_id=AK-12
39,data/gunshot_kaggle/AK-12/3 (44).wav,gunshot,gunshot_kaggle,,2.0,88200,44100,2,16,e0eba50180263d3b14c0e9f29c73fb3a,weapon_id=AK-12
40,data/gunshot_kaggle/AK-12/3 (45).wav,gunshot,gunshot_kaggle,,2.0,88200,44100,2,16,8d685a941c1fddd3dbc202149b1d4b04,weapon_id=AK-12
